state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,025702,2,"Block Group 2, Census Tract 257.02, King County, Washington",1073,0,22,20,17,10,10,12,40,21,5,40,15
53,033,025702,1,"Block Group 1, Census Tract 257.02, King County, Washington",1391,7,9,9,4,9,0,0,10,17,20,0,25
53,033,026400,5,"Block Group 5, Census Tract 264, King County, Washington",1423,0,0,20,1,0,10,0,0,11,19,0,0
53,033,026400,3,"Block Group 3, Census Tract 264, King County, Washington",1250,0,15,16,0,11,0,12,0,15,0,0,13
53,033,027100,1,"Block Group 1, Census Tract 271, King County, Washington",1962,10,16,17,3,34,35,5,0,32,33,52,45
53,033,027100,2,"Block Group 2, Census Tract 271, King County, Washington",1828,0,45,42,0,8,0,0,66,48,33,40,0
53,033,027400,2,"Block Group 2, Census Tract 274, King County, Washington",1096,38,0,52,24,10,19,0,11,25,20,0,0
53,033,027400,3,"Block Group 3, Census Tract 274, King County, Washington",1608,0,21,65,17,10,0,0,68,30,10,9,33
53,033,027500,4,"Block Group 4, Census Tract 275, King County, Washington",1083,9,11,10,9,0,0,0,0,8,9,17,9
53,033,027500,1,"Block Group 1, Census Tract 275, King County, Washington",1626,0,18,54,34,38,48,11,6,25,57,3,38
53,033,032005,4,"Block Group 4, Census Tract 320.05, King County, Washington",1743,0,0,87,0,0,0,17,14,0,0,0,8
53,033,032005,5,"Block Group 5, Census Tract 320.05, King County, Washington",1119,16,30,16,0,33,0,0,76,53,0,17,0
53,033,032203,1,"Block Group 1, Census Tract 322.03, King County, Washington",2553,0,0,46,0,0,0,0,28,27,0,0,0
53,033,032203,2,"Block Group 2, Census Tract 322.03, King County, Washington",1534,36,0,10,0,0,0,15,14,0,0,0,0
53,033,032203,3,"Block Group 3, Census Tract 322.03, King County, Washington",3064,0,35,88,60,27,13,18,16,165,46,14,14
53,033,032203,4,"Block Group 4, Census Tract 322.03, King County, Washington",1169,0,0,0,13,0,20,6,0,0,14,19,0
53,033,032208,1,"Block Group 1, Census Tract 322.08, King County, Washington",1706,0,31,3,0,22,83,38,38,37,49,42,134
53,033,032208,4,"Block Group 4, Census Tract 322.08, King County, Washington",2175,0,0,0,31,0,34,0,0,42,31,18,0
53,033,032208,2,"Block Group 2, Census Tract 322.08, King County, Washington",870,0,18,48,30,71,31,0,144,63,120,109,44
53,033,032208,3,"Block Group 3, Census Tract 322.08, King County, Washington",1965,0,16,40,0,28,63,0,42,0,15,90,136
53,033,032601,1,"Block Group 1, Census Tract 326.01, King County, Washington",2030,59,51,53,0,24,46,59,70,36,0,10,37
53,033,032601,2,"Block Group 2, Census Tract 326.01, King County, Washington",1136,3,17,13,17,3,8,7,14,33,0,8,8
53,033,001400,2,"Block Group 2, Census Tract 14, King County, Washington",1589,0,41,22,71,0,0,24,0,20,70,0,0
53,033,001400,1,"Block Group 1, Census Tract 14, King County, Washington",1139,0,0,20,0,0,0,21,56,0,8,0,8
53,033,001400,4,"Block Group 4, Census Tract 14, King County, Washington",1388,7,39,0,0,20,0,7,58,24,0,0,47
53,033,030902,3,"Block Group 3, Census Tract 309.02, King County, Washington",2685,0,17,0,12,0,0,24,0,42,0,47,0
53,033,030305,3,"Block Group 3, Census Tract 303.05, King County, Washington",1483,12,31,67,55,0,13,27,26,66,39,12,0
53,033,030503,1,"Block Group 1, Census Tract 305.03, King County, Washington",2269,0,0,37,72,62,29,0,5,34,51,68,32
53,033,030504,1,"Block Group 1, Census Tract 305.04, King County, Washington",664,0,0,6,0,0,0,0,9,0,8,0,0
53,033,030504,3,"Block Group 3, Census Tract 305.04, King County, Washington",1442,0,10,0,21,0,0,0,8,8,0,0,0
53,033,030801,3,"Block Group 3, Census Tract 308.01, King County, Washington",2660,17,38,54,28,13,14,27,45,52,37,0,41
53,033,030801,2,"Block Group 2, Census Tract 308.01, King County, Washington",2992,4,6,0,0,0,3,0,0,4,0,0,14
53,033,031204,5,"Block Group 5, Census Tract 312.04, King County, Washington",1291,0,39,22,16,17,0,0,16,62,2,0,0
53,033,031204,2,"Block Group 2, Census Tract 312.04, King County, Washington",1330,44,24,21,0,0,0,0,26,0,21,0,24
53,033,031204,4,"Block Group 4, Census Tract 312.04, King County, Washington",1000,19,0,110,21,0,12,17,42,17,0,29,0
53,033,031904,2,"Block Group 2, Census Tract 319.04, King County, Washington",670,0,0,6,30,0,0,0,0,38,6,0,0
53,033,031904,1,"Block Group 1, Census Tract 319.04, King County, Washington",1603,26,11,23,22,10,10,23,33,5,10,17,4
53,033,032008,1,"Block Group 1, Census Tract 320.08, King County, Washington",1591,0,0,88,0,0,0,10,69,37,23,11,0
53,033,032008,3,"Block Group 3, Census Tract 320.08, King County, Washington",1187,21,28,2,10,0,0,14,22,0,0,0,0
53,033,032207,2,"Block Group 2, Census Tract 322.07, King County, Washington",942,8,9,25,0,0,8,9,0,0,16,0,9
53,033,032207,3,"Block Group 3, Census Tract 322.07, King County, Washington",1364,9,34,0,49,0,21,7,41,49,26,20,7
53,033,011800,6,"Block Group 6, Census Tract 118, King County, Washington",2751,29,34,0,0,28,0,0,0,35,26,0,0
53,033,001800,1,"Block Group 1, Census Tract 18, King County, Washington",1713,0,16,3,19,2,0,23,0,32,0,0,0
53,033,001800,3,"Block Group 3, Census Tract 18, King County, Washington",1696,0,15,14,0,0,31,0,11,16,16,0,45
53,033,002000,1,"Block Group 1, Census Tract 20, King County, Washington",1649,29,20,10,0,0,0,31,22,9,10,11,21
53,033,002500,1,"Block Group 1, Census Tract 25, King County, Washington",1672,84,10,0,17,8,0,25,7,29,16,8,35
