,GEOID,population,AREA_ACRES,tract,geometry
0,53033000101,3759,102.503713033783,101,"POLYGON ((1198280.285745851 879815.1730475121, 1198288.8691290298 880083.921229689, 1198301.2195018667 880474.830645467, 1198599.8474194484 880464.3818572722, 1198635.02505937 880463.2164942953, 1198750.8837827523 880459.1200928153, 1198967.8466377056 880451.6301856029, 1199306.081674578 880439.9265559866, 1199549.8481727466 880431.1044213816, 1199634.9669801889 880428.441407388, 1199965.8457381448 880418.0114445024, 1199962.4968840694 879760.5085088228, 1199959.6389965846 879092.0478563423, 1199956.3808320593 878427.6112310315, 1199953.0575300276 877760.2569916685, 1199621.4446541402 877772.8924729195, 1199287.3547963644 877784.8601963385, 1198966.053817369 877796.1778397782, 1198719.793249591 877805.0636407075, 1198710.195813866 877805.2818775907, 1198268.8371061303 877820.8029777928, 1198275.2740368103 878330.4433890058, 1198275.1486522763 879038.3832952807, 1198269.2995075863 879149.0861795231, 1198268.682424568 879370.604190423, 1198280.285745851 879815.1730475121))"
1,53033000102,4321,596.442465284464,102,"POLYGON ((1198268.8371061303 877820.8029777928, 1198710.195813866 877805.2818775907, 1198719.793249591 877805.0636407075, 1198966.053817369 877796.1778397782, 1199287.3547963644 877784.8601963385, 1199621.4446541402 877772.8924729195, 1199953.0575300276 877760.2569916685, 1199956.3808320593 878427.6112310315, 1199959.6389965846 879092.0478563423, 1199962.4968840694 879760.5085088228, 1199965.8457381448 880418.0114445024, 1200295.0435967285 880409.4495111265, 1200630.843998105 880398.9190261703, 1200714.2815778083 880398.1234099685, 1200809.7926531176 880397.7846871772, 1200899.87408488 880396.8396645421, 1201218.3118784737 880391.4564833652, 1201249.069001149 880390.7604806201, 1201440.9763191165 880385.6897613908, 1201870.6069663628 880376.7081180396, 1202209.6564214078 880368.3212159807, 1202455.9588756517 880362.762421941, 1203613.630821037 880335.5816715546, 1203744.2872105457 880332.6421842197, 1203749.4369777625 880244.2168505602, 1203887.544617834 877846.5456647172, 1203902.4909005817 877755.7112633996, 1203908.5448964257 877718.3539670085, 1203914.8449715795 877680.9911506409, 1203948.3723024537 877474.7911560311, 1203955.2059316945 877428.293707454, 1204244.0721802132 875468.7906566111, 1204403.4387694665 874889.7455088818, 1202726.8566708646 874950.4570234814, 1202399.185388812 875008.934118166, 1202373.957418198 875004.0297537262, 1202242.135691529 875044.2250543, 1202198.4738784423 875051.7791461095, 1201453.893212491 875076.991498638, 1201444.221319382 875084.8732727605, 1201413.6208421183 875092.8634231794, 1201235.4440618493 875097.6225304371, 1201082.732184042 875095.9687819601, 1201016.9015932283 875092.3497044699, 1200933.9830247846 875095.3212278386, 1200926.5910800754 875095.1236433405, 1200786.6524921136 875092.0881906558, 1200697.7707250572 875103.588674312, 1200440.892460222 875112.6921941114, 1200146.8579936065 875123.0065745858, 1199947.7943204106 875129.7107895081, 1199592.0083696132 875142.5294717372, 1199113.1448236438 875157.4214560924, 1198823.5087459735 875166.1965694322, 1198497.2168977978 875176.5395359243, 1198231.2083495678 875184.7854785285, 1198240.8121598612 875844.3318292889, 1198250.1616314286 876503.5197334943, 1198259.4866439076 877161.6139612002, 1198268.8371061303 877820.8029777928))"
2,53033000201,4416,446.42449592215,201,"POLYGON ((1191537.9772122882 876074.7774818923, 1191548.2253785639 876443.4722360031, 1191550.884702707 876537.1946237888, 1191556.287593817 876728.2863240136, 1191564.231873402 877007.994539205, 1191575.0026862905 877399.3024450386, 1191636.5638408894 879678.6207308882, 1191638.454995585 879803.0145534063, 1191644.478103261 880223.2625482469, 1191642.4231835704 880294.1041697472, 1191639.1066375729 880406.2112555358, 1191643.0401584937 880725.4249865686, 1191980.0220326136 880712.8928304955, 1192328.8144627807 880700.0940267092, 1192989.008675762 880675.7415618472, 1193322.792878628 880663.3064787694, 1193646.7351964822 880651.1037987147, 1194309.1462177695 880626.7454939584, 1194973.722777994 880600.1704615701, 1194963.6313429198 879935.1561982353, 1194953.286226996 879269.7834929754, 1194943.1035937883 878600.7586078129, 1194937.964579254 878269.5316785868, 1194932.8376907427 877928.0870697339, 1195151.329825361 877921.6146230132, 1195594.0079800447 877910.0066140266, 1195579.2612455501 877255.684378575, 1195564.3724277331 876595.162483678, 1195547.1494246912 876391.5690662661, 1195555.0997200585 876179.7357969552, 1195550.0771198976 875960.5365268887, 1195549.9805168933 875945.5772835066, 1195534.8746125498 875275.57361072, 1195084.1234084917 875292.11063548, 1194869.8191962529 875299.9467913795, 1194644.4394790502 875308.0391157402, 1194537.1645034442 875311.9621961891, 1194378.3634138182 875324.0026726406, 1194204.7113820605 875332.7368740531, 1193869.0201747688 875341.1844553568, 1193683.8453442021 875341.4300463042, 1193533.2450618204 875345.990584481, 1193344.5128827838 875352.1601240494, 1193141.0136939096 875358.6715528942, 1193053.169149184 875382.9552758667, 1192975.0918060755 875414.3126190134, 1192862.2270974962 875368.0153293425, 1192190.7180246185 875390.0744812699, 1191519.2096728776 875412.1570045688, 1191537.9772122882 876074.7774818923))"
3,53033000202,4099,365.710683828102,202,"POLYGON ((1194973.722777994 880600.1704615701, 1195306.261782258 880587.0681709052, 1195379.3060764722 880583.9335444471, 1195466.3756408975 880580.4777686202, 1195643.2299190508 880573.8700051097, 1195927.3135437178 880562.6188510853, 1195970.8483294535 880560.8922462465, 1196253.693628144 880549.3089622908, 1196320.0950715442 880546.3298258968, 1196559.9142805268 880537.1953369946, 1196964.2778173513 880521.3844912011, 1197301.0349667508 880509.6800734316, 1197634.5934125956 880498.0541558044, 1197967.414287794 880486.4505585219, 1198301.2195018667 880474.830645467, 1198288.8691290298 880083.921229689, 1198280.285745851 879815.1730475121, 1198268.682424568 879370.604190423, 1198269.2995075863 879149.0861795231, 1198275.1486522763 879038.3832952807, 1198275.2740368103 878330.4433890058, 1198268.8371061303 877820.8029777928, 1198259.4866439076 877161.6139612002, 1198250.1616314286 876503.5197334943, 1198240.8121598612 875844.3318292889, 1198231.2083495678 875184.7854785285, 1197889.6408223587 875194.7571335571, 1197844.1166314562 875196.1595847794, 1197548.1066915041 875206.1932996335, 1197251.3420029967 875215.5193328001, 1197206.556381313 875216.9064992041, 1196865.2439034448 875227.2550826087, 1196613.2985686304 875236.6616667602, 1196380.0423102353 875244.9140592612, 1196200.185742561 875251.5824877283, 1195867.530005998 875263.5751677762, 1195739.8351311793 875268.3239959339, 1195534.8746125498 875275.57361072, 1195549.9805168933 875945.5772835066, 1195550.0771198976 875960.5365268887, 1195555.0997200585 876179.7357969552, 1195547.1494246912 876391.5690662661, 1195564.3724277331 876595.162483678, 1195579.2612455501 877255.684378575, 1195594.0079800447 877910.0066140266, 1195151.329825361 877921.6146230132, 1194932.8376907427 877928.0870697339, 1194937.964579254 878269.5316785868, 1194943.1035937883 878600.7586078129, 1194953.286226996 879269.7834929754, 1194963.6313429198 879935.1561982353, 1194973.722777994 880600.1704615701))"
4,53033000300,2820,299.225793449391,300,"POLYGON ((1186323.562511577 880876.5119484287, 1186351.36627381 880875.8614012501, 1186376.9553164046 880875.2627954142, 1186620.3075317822 880869.9366427681, 1186763.016570391 880866.6007752019, 1187016.9489335795 880861.0327093104, 1187276.7862443628 880855.3298726485, 1187351.3396477185 880853.5895122273, 1187422.6943383482 880851.9238109433, 1187682.5319952732 880846.226415752, 1187942.6157449463 880840.5270265412, 1188079.1737958044 880837.3439242198, 1188348.1154628543 880831.4435050065, 1188608.199569403 880825.7527515601, 1188701.6985339501 880823.5763161837, 1188754.1073689181 880822.356941504, 1189013.945412437 880816.6771474953, 1189143.8180309092 880811.8329764312, 1189320.6860537112 880805.8969796891, 1189677.6128967798 880793.5912395206, 1190010.4268518928 880781.8512872295, 1190341.2814256828 880770.5277307794, 1190956.0034618997 880749.3500823171, 1190996.8395961777 880748.0394612008, 1191134.8408287198 880743.3852801023, 1191217.209057039 880738.9245018932, 1191235.442133397 880739.5973122772, 1191300.3829191315 880737.3646894898, 1191361.3867496592 880735.2232969836, 1191413.295184843 880733.6574699833, 1191429.5262525093 880732.9172934165, 1191643.0401584937 880725.4249865686, 1191639.1066375729 880406.2112555358, 1191642.4231835704 880294.1041697472, 1191644.478103261 880223.2625482469, 1191638.454995585 879803.0145534063, 1191636.5638408894 879678.6207308882, 1191575.0026862905 877399.3024450386, 1191564.231873402 877007.994539205, 1191556.287593817 876728.2863240136, 1191405.6789253277 876870.4379144784, 1191345.9100577051 876937.1405868558, 1191207.3958651703 877091.0563089207, 1190916.3585277027 877367.8319308669, 1190848.2776847903 877426.3358756795, 1190595.6486940538 877617.5661343228, 1190274.048428089 877860.3931146, 1189916.7638124095 878124.8542836269, 1189630.8888148402 878336.2102477474, 1188982.3558179361 878823.1218199268, 1188648.1844395963 878830.8959874928, 1188315.7359641942 878838.6356585703, 1187982.8039355278 878846.757308863, 1187650.3558255087 878854.5085070241, 1187337.5937614136 878861.8057785239, 1186984.7214228816 878870.0450733126, 1186652.035875758 878878.1839337316, 1186319.6225108993 878887.4166170724, 1186330.1775646845 879549.1366391926, 1186333.368352195 879748.674050489, 1186336.8831065926 879962.0710531034, 1186339.6726560039 880144.4666519103, 1186340.7676236767 880212.3163103116, 1186346.807735685 880596.802593197, 1186322.029752679 880768.8958262801, 1186323.562511577 880876.5119484287))"
5,53033000402,5174,444.495420638847,402,"POLYGON ((1182340.6440695066 876342.881350664, 1182357.2473766836 877004.8219776863, 1182365.64251826 877350.2049437005, 1182373.5871253414 877666.039962474, 1182705.503133487 877655.6567799206, 1183037.4283990217 877645.6442126298, 1183059.5678961761 877644.7577303423, 1183196.8610366601 877640.4291837506, 1183701.2618120548 877624.9069944097, 1183695.14708775 877344.061281458, 1183686.6643218438 876962.5530813052, 1184021.5801936134 876953.5822061754, 1184335.8152464575 876944.7378629908, 1184652.0195998715 876935.8522187156, 1184962.5978437907 876928.5635485199, 1185508.9058650688 876914.2951583094, 1185699.412978631 876910.9270673309, 1185901.0032123195 876907.6660424819, 1185956.0118265827 876911.8519771108, 1186287.9841205385 876903.354153662, 1186282.451159569 876561.5533894233, 1186277.14870616 876229.6005107726, 1186266.5438027014 875565.6951783908, 1186250.8101242331 874240.3129029856, 1186239.3392774658 873276.1021896781, 1186234.9515546386 872920.044667052, 1186215.697922087 871359.7431754217, 1186210.5984018573 870931.0848970751, 1186209.0825320152 870813.6172904997, 1185879.119175963 870817.6882843692, 1185548.9097640377 870821.7705605794, 1185218.9464505892 870825.8527590364, 1184882.0817982056 870829.7375420528, 1184883.8469812325 870967.9998622908, 1184888.7346468463 871375.8629558259, 1184891.7521983294 871630.5046729054, 1184899.6577450417 872293.0103743222, 1184907.5807902024 872956.2460119219, 1184581.4571190015 872964.993691293, 1184255.325207399 872973.3819601354, 1183928.9558220198 872982.1466928953, 1183602.5867802894 872990.9165375765, 1183273.0263495718 873000.1319847617, 1183128.3073548258 873004.2694786568, 1183107.6309475892 873004.7563970109, 1182943.2284427767 873009.7235645402, 1182667.3289927673 873017.6855467935, 1182607.2687232702 873019.1014861827, 1182599.1455438146 873019.2926774934, 1182283.871158227 873028.5533261651, 1182289.801064851 873415.5932556997, 1182293.853444717 873691.7418168862, 1182304.0824696226 874354.9253555136, 1182314.065749205 875018.1153011324, 1182324.0582718302 875681.6703334302, 1182340.6440695066 876342.881350664))"
6,53033000403,3074,180.931439613169,403,"POLYGON ((1182394.0624565042 878492.1056249111, 1182402.3596768004 878822.8945202989, 1182405.7004367623 878995.7892645776, 1182422.8522102959 879649.6914471415, 1182439.4291841427 880310.5409840625, 1182447.3426728747 880635.5011241749, 1182455.7686791273 880971.7621081118, 1182889.281216135 880960.4440344183, 1183774.2596604344 880937.0492115106, 1183766.8146178264 880599.6705486266, 1183759.4067914565 880274.3334699256, 1183744.8089267798 879611.9773021841, 1183738.2366551228 879301.2181768949, 1183731.2097271644 878971.1288253544, 1184392.8726976425 878933.3134969088, 1184518.9612501715 878913.5656329283, 1184622.7894792247 878879.0143162023, 1184664.1339419486 878857.2429311149, 1184719.8432067626 878828.5659591611, 1184807.9427116993 878763.7315885338, 1184893.0854380804 878677.8013627698, 1184950.3255343237 878619.8956421758, 1184980.683248148 878602.0321405203, 1185012.2049109759 878591.8045614432, 1185204.2811979128 878582.5554690998, 1185376.5366789673 878578.5168792304, 1185381.7043435103 878578.3957964224, 1185650.4143182966 878571.7339330598, 1185655.132981864 878258.15623913, 1185653.5674736374 878233.3784448804, 1185642.4582603115 878063.9505070912, 1185640.2400412378 878042.8368150569, 1185636.4153053628 878005.7047063761, 1185624.712845429 877895.042954199, 1185616.417661322 877814.2247229973, 1185508.9058650688 876914.2951583094, 1184962.5978437907 876928.5635485199, 1184652.0195998715 876935.8522187156, 1184335.8152464575 876944.7378629908, 1184021.5801936134 876953.5822061754, 1183686.6643218438 876962.5530813052, 1183695.14708775 877344.061281458, 1183701.2618120548 877624.9069944097, 1183196.8610366601 877640.4291837506, 1183059.5678961761 877644.7577303423, 1183037.4283990217 877645.6442126298, 1182705.503133487 877655.6567799206, 1182373.5871253414 877666.039962474, 1182394.0624565042 878492.1056249111))"
7,53033000404,4067,155.916052177298,404,"POLYGON ((1183774.2596604344 880937.0492115106, 1184097.0675927852 880929.0926262732, 1184397.2480515353 880922.0377104367, 1184708.7465648716 880914.7220751562, 1185020.4911732692 880907.4053932538, 1185685.801189914 880891.4425286487, 1186055.6141727017 880882.7823477791, 1186323.562511577 880876.5119484287, 1186322.029752679 880768.8958262801, 1186346.807735685 880596.802593197, 1186340.7676236767 880212.3163103116, 1186339.6726560039 880144.4666519103, 1186336.8831065926 879962.0710531034, 1186333.368352195 879748.674050489, 1186330.1775646845 879549.1366391926, 1186319.6225108993 878887.4166170724, 1186309.264893192 878244.6681623353, 1186309.0331178028 878224.2380729769, 1186306.4928479216 878063.0027140323, 1186305.9879661554 878030.9015884664, 1186287.9841205385 876903.354153662, 1185956.0118265827 876911.8519771108, 1185901.0032123195 876907.6660424819, 1185699.412978631 876910.9270673309, 1185508.9058650688 876914.2951583094, 1185616.417661322 877814.2247229973, 1185624.712845429 877895.042954199, 1185636.4153053628 878005.7047063761, 1185640.2400412378 878042.8368150569, 1185642.4582603115 878063.9505070912, 1185653.5674736374 878233.3784448804, 1185655.132981864 878258.15623913, 1185650.4143182966 878571.7339330598, 1185381.7043435103 878578.3957964224, 1185376.5366789673 878578.5168792304, 1185204.2811979128 878582.5554690998, 1185012.2049109759 878591.8045614432, 1184980.683248148 878602.0321405203, 1184950.3255343237 878619.8956421758, 1184893.0854380804 878677.8013627698, 1184807.9427116993 878763.7315885338, 1184719.8432067626 878828.5659591611, 1184664.1339419486 878857.2429311149, 1184622.7894792247 878879.0143162023, 1184518.9612501715 878913.5656329283, 1184392.8726976425 878933.3134969088, 1183731.2097271644 878971.1288253544, 1183738.2366551228 879301.2181768949, 1183744.8089267798 879611.9773021841, 1183759.4067914565 880274.3334699256, 1183766.8146178264 880599.6705486266, 1183774.2596604344 880937.0492115106))"
8,53033000500,3400,951.774565812257,500,"POLYGON ((1177457.1079578083 875269.4354206797, 1177465.3123342246 875840.7091583059, 1177477.9185106414 876730.82179624, 1177632.4933425654 877451.1452712534, 1177466.1466378593 880965.6895103728, 1177453.3075950362 881149.9182698621, 1178982.2761167155 881063.1499799513, 1179022.381863425 881062.1964480486, 1179072.8130645205 881060.632701312, 1179088.3137914196 881060.2643368854, 1179123.270014576 881060.1635149767, 1179161.636039187 881058.5218169814, 1179166.0648186947 881058.4166632734, 1179181.0740424283 881058.0599785816, 1179192.145989791 881057.7967658838, 1179371.4976648362 881052.8059956173, 1179399.3007389405 881052.1455273638, 1179622.2115420438 881046.4874936157, 1179693.0647444262 881044.440786267, 1179711.5184293897 881044.0026314289, 1179792.9514216844 881041.7050353778, 1179813.8655771036 881041.2087854096, 1180135.1869269975 881032.8564530944, 1180163.2364133867 881032.1914265264, 1180463.1517924403 881024.352151589, 1180924.651628139 881009.772518618, 1180949.0105761064 881009.1957559488, 1181134.742552593 881003.3403565213, 1181721.0416498356 880988.016412708, 1181736.788791921 880987.6444483674, 1182202.8822317258 880979.9199939799, 1182455.7686791273 880971.7621081118, 1182447.3426728747 880635.5011241749, 1182439.4291841427 880310.5409840625, 1182422.8522102959 879649.6914471415, 1182405.7004367623 878995.7892645776, 1182402.3596768004 878822.8945202989, 1182394.0624565042 878492.1056249111, 1182373.5871253414 877666.039962474, 1182365.64251826 877350.2049437005, 1182357.2473766836 877004.8219776863, 1182340.6440695066 876342.881350664, 1182324.0582718302 875681.6703334302, 1182314.065749205 875018.1153011324, 1182304.0824696226 874354.9253555136, 1182293.853444717 873691.7418168862, 1182289.801064851 873415.5932556997, 1182283.871158227 873028.5533261651, 1182279.7465942015 872738.9046073032, 1182273.7549724176 872317.9288669794, 1182270.284430795 872055.9988594975, 1182265.275964296 871707.9841249682, 1182005.3760534604 871716.3073095159, 1181745.4675684073 871724.2691664948, 1181670.4043684383 871726.771837938, 1181635.949715343 871727.9507886383, 1181596.134736499 871742.0286318477, 1181573.4776263132 871762.9993160282, 1181562.7525497938 871799.014811239, 1181561.955244743 871848.6627943558, 1181579.2794488403 871893.8683207292, 1181609.4690878273 871931.1065783877, 1181742.6075326225 872020.2860998515, 1181757.4448308032 872043.655242423, 1181787.4173388463 872092.576458785, 1181706.939753591 872095.2073508486, 1181585.5782713667 872087.4916608128, 1181558.6004382605 872081.9254461516, 1181533.9199593444 872069.3716008893, 1181464.034224568 872019.9346004572, 1181344.2858336566 871945.0370663666, 1181306.2083590475 871949.2217902741, 1181280.342996722 871969.9039063796, 1181216.2022516876 872100.9670405558, 1181167.2255961339 872217.074961627, 1181161.2904958893 872257.7211935327, 1181174.490801438 872305.5783922083, 1181242.0837843681 872466.3693243505, 1181305.8554546617 872580.1759172379, 1181250.8020142226 872605.9272986132, 1181216.6297048575 872608.5601116081, 1181161.120299558 872594.1813451231, 1181067.0078350801 872561.7399433058, 1181016.9433499146 872558.9100716595, 1180984.606151253 872566.2437174489, 1180968.929870706 872569.8990181388, 1180915.0820434547 872594.5279193402, 1180828.3352540107 872644.3855935283, 1180658.3501296146 872767.3733560584, 1180595.5163177054 872818.1253025389, 1180529.8324949252 872831.7233459728, 1180489.9558096235 872811.8672804784, 1180392.958013972 872720.0154878378, 1180313.359489693 872686.8690169372, 1180146.1203558405 872634.6347577547, 1180043.4561905526 872615.5381835598, 1179926.696868356 872625.2399778964, 1179636.1587556743 872670.4487285888, 1179474.817472856 872711.1349882621, 1179098.3196347058 872839.0401949232, 1178615.4368809082 872915.4741021616, 1178207.2656702104 872985.0326980634, 1177976.0058950032 873057.6841016476, 1177890.1345363993 873123.2258679011, 1177877.5405222434 873204.5384646142, 1177931.2986957368 873321.1276772883, 1177884.35737706 873345.965520347, 1177679.9273603112 873438.4174916175, 1176689.7752308242 873909.0689125669, 1177457.1079578083 875269.4354206797))"
9,53033000601,4074,353.649049190064,601,"POLYGON ((1188904.8375726256 874610.8426292267, 1188972.0138521118 874608.550958199, 1189412.7300330224 874593.9297529841, 1189554.466916276 874589.1784982115, 1189654.6163119995 874585.758307162, 1189686.120886136 874585.0271427844, 1190203.3422219642 874566.8236379985, 1190202.4053740825 874706.9733682045, 1190199.1211469865 875117.5814793721, 1190196.3950106874 875456.6530228548, 1190207.5103698126 875797.9582176792, 1190221.7670990517 876232.2448195925, 1190225.6778035841 876358.4158843909, 1190239.2557556054 876784.6903503663, 1190260.7918632815 877447.9775644419, 1190265.8712512911 877603.3152370845, 1190274.048428089 877860.3931146, 1190595.6486940538 877617.5661343228, 1190848.2776847903 877426.3358756795, 1190916.3585277027 877367.8319308669, 1191207.3958651703 877091.0563089207, 1191345.9100577051 876937.1405868558, 1191405.6789253277 876870.4379144784, 1191556.287593817 876728.2863240136, 1191550.884702707 876537.1946237888, 1191548.2253785639 876443.4722360031, 1191537.9772122882 876074.7774818923, 1191519.2096728776 875412.1570045688, 1192190.7180246185 875390.0744812699, 1192862.2270974962 875368.0153293425, 1192975.0918060755 875414.3126190134, 1193053.169149184 875382.9552758667, 1193141.0136939096 875358.6715528942, 1193344.5128827838 875352.1601240494, 1193533.2450618204 875345.990584481, 1193683.8453442021 875341.4300463042, 1193869.0201747688 875341.1844553568, 1194204.7113820605 875332.7368740531, 1194204.5817179233 874662.7545638265, 1194204.4167643725 874001.8966915971, 1194205.7055962184 873597.1764002404, 1194202.4413598962 873497.9945475878, 1194195.6654022161 873449.616538615, 1194180.7299840515 873410.5491092723, 1194194.3439519927 873381.4080242974, 1194204.2441940713 873340.6748538811, 1194204.0725954208 872679.453574049, 1193867.1551163914 872690.1177033797, 1193525.1945933604 872706.3775681604, 1192856.6584315011 872722.5046389424, 1192519.9880813137 872733.1866164315, 1192183.3177475247 872743.8743545653, 1191846.647759422 872754.5681802264, 1191509.7402980505 872765.6381349586, 1191168.6316988484 872776.0812330715, 1190853.123072454 872785.937527509, 1190512.7616558438 872796.7397911823, 1190447.0042348243 872807.3864189634, 1190372.4022383138 872818.967943739, 1190329.384648002 872822.5193281639, 1190252.806085231 872823.199835348, 1190214.8223327731 872820.7960830217, 1190194.052749865 872817.2635926639, 1190136.2163387602 872808.3871220781, 1189867.7147715376 872816.8046078034, 1189539.4158035975 872827.3442855644, 1189101.1038532695 872841.1755823063, 1189063.6971564165 872842.409906758, 1188882.554988804 872847.716102606, 1188887.8690857638 873256.29919156, 1188891.0471700204 873509.477799133, 1188895.4291720772 873856.7771167352, 1188896.666787406 873941.7739028468, 1188896.9379520097 873974.6100983783, 1188899.37023143 874174.5285823182, 1188904.8375726256 874610.8426292267))"
